epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,41559.1,0.91538,1.04632,1.17708,0.67417,0.61196,0.66261,0.54242,0.85708,1.26043,1.128,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,42877.6,0.91052,1.02407,1.1762,0.63459,0.61929,0.65923,0.54073,0.86435,1.25969,1.13408,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,44251.4,0.90489,1.01091,1.17264,0.65821,0.63214,0.66624,0.5436,0.86319,1.25836,1.1346,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,45585.1,0.89567,0.99534,1.16887,0.60501,0.6542,0.66508,0.54468,0.85988,1.2571,1.13259,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,46895,0.89268,0.98317,1.16869,0.6889,0.59088,0.66081,0.54352,0.85733,1.24657,1.12999,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,48162.2,0.88692,0.96167,1.16137,0.69208,0.59509,0.66769,0.54968,0.8509,1.24154,1.12397,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,49396.1,0.88134,0.94999,1.16269,0.67488,0.61568,0.66664,0.54975,0.85295,1.23251,1.12531,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,50628.6,0.87264,0.93115,1.15666,0.67062,0.63554,0.664,0.5487,0.8513,1.2233,1.12948,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,51904.4,0.86632,0.92371,1.15324,0.67182,0.6339,0.66214,0.5462,0.85601,1.23437,1.13114,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,53133.8,0.80891,0.7221,1.16691,0.64625,0.63252,0.65783,0.54223,0.8579,1.25159,1.1334,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,54364,0.7877,0.67948,1.15176,0.6838,0.6204,0.65392,0.54168,0.85912,1.27924,1.13508,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,55610.9,0.77511,0.6572,1.14413,0.64206,0.62867,0.65067,0.53979,0.85891,1.28725,1.13591,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,56891.7,0.76663,0.63564,1.13712,0.65813,0.62193,0.65233,0.542,0.85726,1.28293,1.13656,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,58118.4,0.75068,0.61265,1.12513,0.65686,0.62775,0.64744,0.5368,0.85703,1.2951,1.13865,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,59385.2,0.73826,0.59885,1.12034,0.65313,0.62879,0.6454,0.53443,0.86067,1.30238,1.14412,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,60688.4,0.72901,0.58155,1.11318,0.6728,0.62121,0.64861,0.53771,0.85977,1.3079,1.14434,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,61930.8,0.72254,0.56678,1.10892,0.67076,0.62204,0.64685,0.53707,0.86278,1.31082,1.14806,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,63172.8,0.71594,0.55965,1.1033,0.66606,0.62626,0.64596,0.53741,0.86505,1.31713,1.15118,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,64409.7,0.70645,0.54762,1.09951,0.66583,0.62119,0.64476,0.53567,0.86744,1.32347,1.15341,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
